area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,piling_contractor,mep_consultant,owner,engineering_consultant,financier,location_type,area_propsearch,phase,floors,building_type,total_units,unit_types,floors_below_ground,date_launched,estimated_handover_date,construction_started,date_completed,revised_estimated_handover_date,caption,photo_url
Arjan,Arjan,Dumax Building,Under development,https://propsearch.ae/dubai/dumax-building,"25°3 57.6""N 55°14 20.4""E",,Em Square Engineering Consultants,Zein Steel Constructions Contracting,,,Dumax Real Estate Broker,,,Residential building,Arjan,Under development,9,Mid-rise building,,,,,,2018,,,update September 2020,https://static.propsearch.ae/dubai-locations/dumax-building-24345_xl.jpg
Arjan,Arjan,Takmeel Building,Under development,https://propsearch.ae/dubai/takmeel-building,"25°3 55.8""N 55°14 53.4""E",Takmeel Real Estate Development,Em Square Engineering Consultants,Evershine Contracting,,,,,,Residential building,Arjan,Under development,7,Mid-rise building,,,,2018,,2018,,,update September 2020,https://static.propsearch.ae/dubai-locations/takmeel-building-24396_xl.jpg
Arjan,Arjan,Untitled Plot 6731266,Under development,https://propsearch.ae/dubai/untitled-plot-6731266,"25°3 49.8""N 55°14 1.4""E",Mizin Real Estate,Federal Engineering Consultants,Golden Wing Contracting,,,,,,Residential building,Arjan,Under development,8,Mid-rise building,,,1,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6731266-24325_xl.jpg
Arjan,Arjan,Untitled Plot 6731267,Under development,https://propsearch.ae/dubai/untitled-plot-6731267,"25°3 47.9""N 55°14 2""E",,Safeer Engineering Consultants,Future Contracting,,,,,,Building,Arjan,Under development,6,Mid-rise building,,,,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-6731267-24320_xl.jpg
Arjan,Arjan,Untitled Plot 6731300,Under development,https://propsearch.ae/dubai/untitled-plot-6731300,"25°3 57.9""N 55°14 22.8""E",Raifq Mohammed Daud,Em Square Engineering Consultants,Dubai Walls Constructions,,,,,,Residential building,Arjan,Under development,9,Mid-rise building,,,,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-6731300-24350_xl.jpg
Arjan,Arjan,Untitled Plot 6731303,Under development,https://propsearch.ae/dubai/untitled-plot-6731303,"25°4 2.9""N 55°14 25.5""E",,Alajmi Engineering Consultants,Golden Wing Contracting,,,,,,Residential building,Arjan,Under development,5,Mid-rise building,,,1,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6731303-24354_xl.jpg
Arjan,Arjan,Untitled Plot 6731216,Under development,https://propsearch.ae/dubai/untitled-plot-6731216,"25°3 24.3""N 55°14 25.6""E",,Pioneers of Experts,Lootah Building & Construction,Dutch Foundation Co.,,,,,Residential building,Arjan,Under development,28,Skyscraper,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6731216-24379_xl.jpg
Arjan,Arjan,Untitled Plot 6731311,Under development,https://propsearch.ae/dubai/untitled-plot-6731311,"25°3 59.8""N 55°14 14.9""E",Hassan Hamad Ali Al Amir,Safeer Engineering Consultants,Abna Al Amir Contracting,,,,,,Residential building,Arjan,Under development,10,Mid-rise building,,,,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-6731311-24344_xl.jpg
Arjan,Arjan,Untitled Plot 6734086,Under development,https://propsearch.ae/dubai/untitled-plot-6734086,"25°3 51.9""N 55°14 49.2""E",,Alajmi Engineering Consultants,Al Habbai Contracting LLC,,Technomech Electromechanical Works LLC,,,,Residential building,Arjan,Under development,15,High-rise building,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6734086-24391_xl.jpg
Arjan,Arjan,Untitled Plot 6734098,Under development,https://propsearch.ae/dubai/untitled-plot-6734098,"25°3 31.6""N 55°14 8""E",,DAR Consult,Al Oroba Contracting LLC,,,,,,Residential building,Arjan,Under development,17,High-rise building,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6734098-24309_xl.jpg
Arjan,Arjan,Untitled Plot 673-862,Under development,https://propsearch.ae/dubai/untitled-plot-673-862,"25°3 28.6""N 55°13 32.3""E",,Modular Design Engineering Consultants,Sumer Contracting Company,,,,,,Residential building,Arjan,Under development,13,High-rise building,,,,,,2018,,,update March 2019,https://static.propsearch.ae/dubai-locations/untitled-plot-673-862-14667_xl.jpg
Arjan,Arjan,Vincitore Boulevard,Under development,https://propsearch.ae/dubai/vincitore-boulevard,"25°3 34.5""N 55°14 31""E",Vincitore Real Estate Development LLC,Em Square Engineering Consultants,,,,,,,Residential building,Arjan,Under development,3,Low-rise building,216,144 studios72 one-bedroom apartments,,March 2017,April 2019,2017,,,update September 2020,https://static.propsearch.ae/dubai-locations/vincitore-boulevard-24629_xl.jpg
Arjan,Arjan,Untitled Plot 6734017,Under development,https://propsearch.ae/dubai/untitled-plot-6734017,"25°3 55.3""N 55°14 8""E",,MBA Engineering Consultancy,Flamingo City Building Contracting LLC,,,,,,Residential building,Arjan,Under development,,,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6734017-24342_xl.jpg
Arjan,Arjan,Untitled Plot 6731209,Under development,https://propsearch.ae/dubai/untitled-plot-6731209,"25°3 28.3""N 55°14 30.5""E",,Atrium Architectural & Engineering Consultancy,Amar Al Khaleej Construction LLC,,Liwa Electromechanical Works LLC,,,,Residential building,Arjan,Under development,6,Mid-rise building,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6731209-24374_xl.jpg
Arjan,Arjan,Vincitore Benessere,Under development,https://propsearch.ae/dubai/vincitore-benessere,"25°3 43.1""N 55°14 36""E",Vincitore Real Estate Development LLC,Em Square Engineering Consultants,,,,,,,Residential building,Arjan,Under development,7,Mid-rise building,380,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,April 2019,2021,,,,site signboard,https://static.propsearch.ae/dubai-locations/vincitore-benessere-24380_xl.jpg
Arjan,Arjan,Untitled Plot 673-1208,Under development,https://propsearch.ae/dubai/untitled-plot-673-1208,"25°3 29.8""N 55°14 33.8""E",,Art Consultants Dubai,United Engineering Construction,,,Mr Abdul Halim Muwahid,,,Office building,Arjan,Under development,5,Mid-rise building,,,1,2018,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-673-1208-24373_xl.jpg
Arjan,Arjan,Untitled Plot 6730894,Under development,https://propsearch.ae/dubai/untitled-plot-6730894,"25°3 31.9""N 55°13 25.2""E",Abdulwahed Ahmad Rashed Bin Shabib,ALFA Engineering,Rals Contracting LLC,,,,,Sharjah Islamic Bank,Residential building,Arjan,Under development,13,High-rise building,,,1,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6730894-24288_xl.jpg
Arjan,Arjan,Untitled Plot 6730911,Under development,https://propsearch.ae/dubai/untitled-plot-6730911,"25°3 26.8""N 55°13 23.3""E",Abdulraouf Mohammad Saleh Alavi,Bin Dalmouk Consultants,CJ Tec Contracting,,,,,,Residential building,Arjan,Under development,15,High-rise building,,,1,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-6730911-24292_xl.jpg
Arjan,Arjan,Untitled Plot 6730917,Under development,https://propsearch.ae/dubai/untitled-plot-6730917,"25°3 21.5""N 55°13 30.2""E",,National Engineering Bureau,Al Qabdah Global Building Contractors,Torque LLC,,,,,Residential building,Arjan,Under development,19,High-rise building,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6730917-24289_xl.jpg
Arjan,Arjan,Untitled Plot 6730919,Under development,https://propsearch.ae/dubai/untitled-plot-6730919,"25°3 20.5""N 55°13 32.8""E",,National Engineering Bureau,Al Qabdah Global Building Contractors,,,,,,Residential building,Arjan,Under development,19,High-rise building,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-6730919-24296_xl.jpg
Arjan,Arjan,Untitled Plot 673-1019,Under development,https://propsearch.ae/dubai/untitled-plot-673-1019,"25°3 23.3""N 55°13 44.6""E",,Future Art Engineering Consultancy,Al Memzar LLC,,,,,,Residential building,Arjan,Under development,,,,,,,,,,,update September 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-673-1019-24298_xl.jpg
Arjan,Arjan,Untitled Plot 6731200,Under development,https://propsearch.ae/dubai/untitled-plot-6731200,"25°3 40.8""N 55°14 36.9""E",,Urban Habitat Architectural Consultants,Future Towers Contracting,,,,,,Residential building,Arjan,Under development,,,,,,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-6731200-24382_xl.jpg
